station_name,year,peak_swe,peak_swe_value
CO_335,2013,130,58.166
CO_335,2014,137,67.818
CO_335,2015,144,49.276
CO_335,2016,123,59.944
CO_335,2017,97,47.244
CO_335,2018,109,46.99
CO_335,2019,122,57.658
CO_335,2020,117,64.262
CO_335,2021,119,49.784
CO_335,2022,126,45.72
CO_335,2023,120,53.34
CO_335,2024,120,60.96
CO_485,2015,140,57.15
CO_485,2016,133,50.546
CO_485,2017,143,53.594
CO_485,2018,115,51.816
CO_485,2019,150,71.374
CO_485,2020,116,51.308
CO_485,2021,133,39.37
CO_485,2022,126,44.704
CO_485,2023,133,43.434
CO_485,2024,136,56.388
CO_531,2013,130,42.672
CO_531,2014,110,54.864
CO_531,2015,144,56.642
CO_531,2016,122,49.022
CO_531,2017,96,43.688
CO_531,2018,112,43.434
CO_531,2019,131,55.88
CO_531,2020,117,50.038
CO_531,2021,119,39.878
CO_531,2022,116,36.322
CO_531,2023,119,36.83
CO_531,2024,134,53.086
CO_802,2013,114,25.908
CO_802,2014,98,38.1
CO_802,2015,67,24.638
CO_802,2016,93,29.21
CO_802,2017,68,34.798
CO_802,2018,100,23.622
CO_802,2019,78,34.798
CO_802,2020,95,31.496
CO_802,2021,91,23.622
CO_802,2023,91,34.036
CO_802,2024,95,30.734
CO_505,2015,144,42.164
CO_505,2016,109,50.292
CO_505,2017,95,56.134
CO_505,2018,111,47.498
CO_505,2019,122,59.436
CO_505,2020,116,52.324
CO_505,2021,115,35.56
CO_505,2022,108,44.196
CO_505,2023,118,48.514
CO_505,2024,134,47.498
