station_name,year,peak_swe,peak_swe_value,first_50p_swe,first_50p_swe_value,last_50p_swe,last_50p_swe_value
CO_505,2015,144,42.164,1,23.622,156,22.352
CO_505,2016,109,50.292,18,25.654,146,25.654
CO_505,2017,95,56.134,6,28.702,150,29.972
CO_505,2018,111,47.498,35,24.13,134,25.654
CO_505,2019,122,59.436,25,30.48,159,30.988
CO_505,2020,116,52.324,38,27.686,137,27.178
CO_505,2021,115,35.56,31,17.78,145,18.796
CO_505,2022,108,44.196,6,24.638,136,22.098
CO_505,2023,118,48.514,18,24.384,143,25.4
CO_505,2024,134,47.498,34,24.384,151,25.4
CO_335,2013,130,58.166,64,29.21,153,31.496
CO_335,2014,137,67.818,31,34.29,155,34.544
CO_335,2015,144,49.276,12,24.638,158,27.178
CO_335,2016,123,59.944,30,29.972,155,32.766
CO_335,2017,97,47.244,8,23.622,153,25.146
CO_335,2018,109,46.99,37,25.146,137,24.384
CO_335,2019,122,57.658,29,29.21,160,28.956
CO_335,2020,117,64.262,31,32.258,148,32.258
CO_335,2021,119,49.784,35,25.4,147,25.654
CO_335,2022,126,45.72,7,23.622,136,24.892
CO_335,2023,120,53.34,19,27.178,149,28.702
CO_335,2024,120,60.96,25,30.48,154,30.48
CO_485,2013,130,48.514,68,24.384,156,26.416
CO_485,2014,137,65.024,41,33.274,161,32.512
CO_485,2015,140,57.15,21,28.702,164,28.956
CO_485,2016,133,50.546,32,26.416,160,25.4
CO_485,2017,143,53.594,11,27.432,165,26.924
CO_485,2018,115,51.816,38,26.162,151,26.162
CO_485,2019,150,71.374,48,35.814,175,36.322
CO_485,2020,116,51.308,35,25.654,155,25.654
CO_485,2021,133,39.37,36,19.812,154,21.844
CO_485,2022,126,44.704,6,22.352,156,24.638
CO_485,2023,133,43.434,27,21.844,161,22.352
CO_485,2024,136,56.388,59,29.718,161,30.226
CO_531,2013,130,42.672,70,21.336,147,21.59
CO_531,2014,110,54.864,31,27.94,154,28.702
CO_531,2015,144,56.642,36,29.21,161,29.972
CO_531,2016,122,49.022,32,25.654,154,26.67
CO_531,2017,96,43.688,10,22.606,156,23.622
CO_531,2018,112,43.434,35,21.844,137,22.352
CO_531,2019,131,55.88,28,27.94,165,29.464
CO_531,2020,117,50.038,23,25.146,142,26.416
CO_531,2021,119,39.878,37,20.574,149,21.59
CO_531,2022,116,36.322,9,18.542,135,20.32
CO_531,2023,119,36.83,28,19.05,149,19.558
CO_531,2024,134,53.086,47,26.67,156,28.194
CO_802,2014,98,38.1,35,19.05,114,20.32
CO_802,2015,67,24.638,1,13.716,101,13.716
CO_802,2016,93,29.21,14,14.732,125,16.51
CO_802,2017,68,34.798,6,18.034,106,17.526
CO_802,2018,100,23.622,37,13.97,116,11.938
CO_802,2019,78,34.798,26,17.526,116,19.05
CO_802,2020,95,31.496,11,15.748,122,17.272
CO_802,2021,91,23.622,21,11.938,115,12.446
CO_802,2023,91,34.036,16,17.018,120,17.78
CO_802,2024,95,30.734,34,16.256,115,15.748
