station_name,year,band,orbit,orbit_direction,backscatter_DOY,backscatter_value
CO_335,2015,vv,56,descending,49,-9.976988
CO_335,2015,vv,56,descending,61,-10.709001
CO_335,2015,vv,56,descending,85,-7.4885077
CO_335,2015,vv,56,descending,133,-13.693663
CO_335,2015,vv,56,descending,157,-11.866232
CO_335,2015,vv,78,ascending,15,-38.615513
CO_335,2015,vv,78,ascending,39,-37.88162
CO_335,2015,vv,78,ascending,87,-37.50158
CO_335,2015,vh,78,ascending,87,-50.178448
CO_335,2015,vv,78,ascending,99,-37.675316
CO_335,2015,vv,78,ascending,123,-37.958954
CO_335,2015,vv,78,ascending,147,-38.22718
CO_335,2015,vv,151,ascending,32,-11.433682
CO_335,2015,vv,151,ascending,56,-11.373349
CO_335,2015,vv,151,ascending,80,-8.942053
CO_335,2015,vv,151,ascending,92,-10.078698
CO_335,2015,vh,151,ascending,92,-16.483223
CO_335,2015,vv,151,ascending,104,-10.372004
CO_335,2015,vv,151,ascending,128,-13.009349
CO_335,2015,vv,151,ascending,152,-12.487412
CO_335,2017,vv,56,descending,26,-12.029828
CO_335,2017,vv,56,descending,38,-12.010103
CO_335,2017,vv,56,descending,50,-11.012963
CO_335,2017,vh,56,descending,50,-19.219233
CO_335,2017,vv,56,descending,62,-10.364137
CO_335,2017,vh,56,descending,62,-19.166573
CO_335,2017,vv,56,descending,74,-10.097962
CO_335,2017,vh,56,descending,74,-18.86679
CO_335,2017,vv,56,descending,86,-9.84059
CO_335,2017,vh,56,descending,86,-18.524809
CO_335,2017,vv,56,descending,98,-9.826845
CO_335,2017,vh,56,descending,98,-18.119486
CO_335,2017,vv,56,descending,110,-11.642213
CO_335,2017,vh,56,descending,110,-21.637592
CO_335,2017,vv,56,descending,122,-9.977371
CO_335,2017,vh,56,descending,122,-18.432821
CO_335,2017,vv,56,descending,134,-12.731758
CO_335,2017,vh,56,descending,134,-21.756021
CO_335,2017,vv,56,descending,146,-13.951739
CO_335,2017,vh,56,descending,146,-22.381594
CO_335,2017,vv,151,ascending,15,-11.738943
CO_335,2017,vh,151,ascending,15,-17.32534
CO_335,2017,vv,151,ascending,39,-11.777935
CO_335,2017,vh,151,ascending,39,-17.286121
CO_335,2017,vv,151,ascending,45,-12.118063
CO_335,2017,vh,151,ascending,45,-17.007511
CO_335,2017,vv,151,ascending,63,-11.726437
CO_335,2017,vh,151,ascending,63,-17.37305
CO_335,2017,vv,151,ascending,75,-11.208309
CO_335,2017,vh,151,ascending,75,-16.92953
CO_335,2017,vv,151,ascending,123,-13.115903
CO_335,2017,vh,151,ascending,123,-18.371265
CO_335,2017,vv,151,ascending,135,-13.174419
CO_335,2017,vh,151,ascending,135,-17.88008
CO_335,2017,vv,151,ascending,147,-13.358099
CO_335,2017,vh,151,ascending,147,-18.104183
CO_335,2018,vv,56,descending,45,-10.57425
CO_335,2018,vh,56,descending,45,-19.433805
CO_335,2018,vv,56,descending,57,-10.625281
CO_335,2018,vh,56,descending,57,-19.530937
CO_335,2018,vv,56,descending,69,-10.780277
